INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
2015-00002450,09-JAN-15,9999999999,TEMP,"REFUND, RENTALS","GENERAL FUND-Deposit, Bldgs/Alcohol Permits",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00002449,09-JAN-15,9999999999,TEMP,1004390-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,122.79
APN 013-011-15R,09-JAN-15,9999999999,TEMP,"REFUND, SPECIAL ASSESSMENTS","SAD 2009 #1 DEBT FUND-Deposit, other",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,883.28
12/1/14-12/31/14,09-JAN-15,712,WASHOE COUNTY JUVENILE SVCS,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Washoe Co.",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1911
12/1/14-12/31/14,09-JAN-15,717,WASHOE COUNTY TREASURER,FEES,GENERAL FUND-Due to Washoe Co Chem Analysis Fees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1254.75
12/1/14-12/31/14,09-JAN-15,717,WASHOE COUNTY TREASURER,FEES,"COURT ADMIN ASSESSMENT FUND-Deposit, AA Fees-Washoe Co GMA",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2828
SOP38208,09-JAN-15,28074,CPS HR CONSULTING,PERSONNEL/HIRING COSTS,GENERAL FUND-Civil Service-Workforce Planning-Development-Outside services-other,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,716.1
SOP38282,09-JAN-15,28074,CPS HR CONSULTING,PERSONNEL/HIRING COSTS,GENERAL FUND-Civil Service-Workforce Planning-Development-Outside services-other,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,962.5
2015-00002457,09-JAN-15,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,4.72
00001666,09-JAN-15,398,COOL BREEZE,CONTRACTORS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,327.54
2015-00002453,09-JAN-15,5114,ROGERS,TRAINING,GENERAL FUND-Communications & Technology-Dispatch-Employee training/travel,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,1038.42
2015-00002444,09-JAN-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,3864.3
2015-00002455,09-JAN-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,4325.96
2015-00002456,09-JAN-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,6207.53
XJKW232M8,09-JAN-15,8855,DELL COMPUTER CORP,Dell Computers,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,21011.2
2-888-66346,09-JAN-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,6.26
2613,09-JAN-15,21846,GALENA GROUP INC,Consulting Services for Tiburon,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,14500
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,123.75
26464934,09-JAN-15,8569,PURCELL TIRE COMPANY,TIRES/TIRE REPAIR,GENERAL FUND-Fire-Fleet Management-Supplies Tires,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,459.19
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,37.5
93188112,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,170
93188231,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,150
93188231,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,8.21
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,258
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,11.25
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,11.23
93190446,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,8.21
93188112,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,195
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,1200
93188112,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,11.81
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,37.5
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,277.5
93188017,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,360
93190446,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,236.25
93188112,09-JAN-15,4364,HARRIS CORPORATION,Radio Parts Order for Police and Fire,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,120
01-3481683,09-JAN-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Outside services-other,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,565.5
01-3490907,09-JAN-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,741
XJM2R2JN1,09-JAN-15,8855,DELL COMPUTER CORP,Computer and Monitor for CD/BL,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,169.68
XJM2T6355,09-JAN-15,8855,DELL COMPUTER CORP,Computer and Monitor for CD/BL,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,300.16
IV0326178,09-JAN-15,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,64.56
2015-00002442,09-JAN-15,622,NV ENERGY,UTILITIES,CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,63.7
2015-00002442,09-JAN-15,622,NV ENERGY,UTILITIES,CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,3356.81
2015-00002446,09-JAN-15,8277,TMWA,"UTILITIES, Water",CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,401.51
2015-00002441,09-JAN-15,8277,TMWA,"UTILITIES, Water",CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,32.4
2015-00002441,09-JAN-15,8277,TMWA,"UTILITIES, Water",CAC OPERATIONS-Community Development-CAC Operations-Public utility service,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,21.73
IV0326209,09-JAN-15,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,COMMUNITY DEVELOPMENT BLK GRANTS-Community Development-CDBG Administration-Miscellaneous operating expense,Community Development,0700,Community Development-CDBG Administration,0700-0020,Fiscal 14/15,32.28
IV0326178,09-JAN-15,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,GENERAL FUND-Community Development-Land Use Planning-Supplies,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,49
XJM2T6355,09-JAN-15,8855,DELL COMPUTER CORP,Computer and Monitor for CD/BL,GENERAL FUND-Community Development-Business License-Supplies-to be tracked,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,300.16
XJM2R2JN1,09-JAN-15,8855,DELL COMPUTER CORP,Computer and Monitor for CD/BL,GENERAL FUND-Community Development-Business License-Supplies-to be tracked,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,169.68
INV12746,09-JAN-15,2010,MMSWEST,EQUIPMENT PARTS/REPAIRS,GENERAL FUND-Community Development-Business License-Outside services-other,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,345.01
IV0326178,09-JAN-15,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,GENERAL FUND-Community Development-Business License-Supplies,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,14
1815000468,09-JAN-15,27942,WASHOE COUNTY TREASURER,"COMPUTERS, Maintenance Contracts",GENERAL FUND-Community Development-Business License-Supplies-to be tracked,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,6759.23
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2004 #4 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,88.88
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2011 #1 (DIST 7724) DEBT FND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,2066.06
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2010 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,121.39
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2003 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2006 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,384.37
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2004 #3 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2001 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,431.94
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2006 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,83.88
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2013 #1 (DIST 7725) DEBT FND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1770.95
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2005 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2003 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
01-349684,09-JAN-15,4709,"R&E FASTENERS, INC.",AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,8.25
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2007 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,358.92
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2005 #3 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,1999 SAD #2-RETRAC-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,3722.95
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2009 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1008.39
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2004 #2 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,352.96
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,2002 SAD #5 EVENTS CENTER-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,50.13
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2008 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,42.64
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2004 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,52.63
DECEMBER 2014,09-JAN-15,25064,ASSESSMENT MANAGEMENT GROUP,PROFESSIONAL SERVICES,SAD 2005 #1 DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,27.63
252-1834246,09-JAN-15,474,THE BANK OF NEW YORK,BANKING SERVICES,DEBT SERVICE FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,750
446338151,09-JAN-15,6043,,PROFESSIONAL SERVICES,GENERAL FUND-Debt Service-Non-Departmental-Principal-other financing,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,20855.11
673321,09-JAN-15,25331,OFFICEMAX,"OFFICE SUPPLIES, Toner/Ink Cartridges",GENERAL FUND-Finance-Financial Management-Supplies,Finance,0400,Finance-Accounting,0400-0410,Fiscal 14/15,257.41
108029,09-JAN-15,111,SAFETY ON SITE,FIRST AID/SAFETY SUPPLIES,GENERAL FUND-Finance-Financial Management-Supplies,Finance,0400,Finance-Accounting,0400-0410,Fiscal 14/15,9.81
9084534,09-JAN-15,222,US BANK,BANKING SERVICES,GENERAL FUND-Finance-Financial Management-Outside services-other,Finance,0400,Finance-Accounting,0400-0410,Fiscal 14/15,399.74
2-896-16368,09-JAN-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Communication,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,19.92
673321,09-JAN-15,25331,OFFICEMAX,"OFFICE SUPPLIES, Toner/Ink Cartridges",SANITARY SEWER O/M FUND-Finance-Sewer Collections-Supplies,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,257.41
108029,09-JAN-15,111,SAFETY ON SITE,FIRST AID/SAFETY SUPPLIES,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Supplies,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,9.81
2015-00002444,09-JAN-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Fire-Emergency Operations-Communication,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,116.94
2015-00002433,09-JAN-15,3639,BERTRAND,"TRAINING, Reimbursment for employee paid training",GENERAL FUND-Fire-Emergency Operations-Employee training/travel,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,150
41422,09-JAN-15,3647,CUSTOM GLASS DIST INC,"BUILDING MAINTENANCE, Glass Replacement",GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,144.97
2015-00002436,09-JAN-15,26341,CWIAK,"TRAINING, Reimbursment for employee paid training",GENERAL FUND-Fire-Emergency Operations-Employee training/travel,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,586
2015-00002454,09-JAN-15,1716,DULGAR,"CLOTHING, PROTECTIVE",GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,200
2015-00002435,09-JAN-15,2510,GENTRY,"TRAINING, Reimbursment for employee paid training",GENERAL FUND-Fire-Emergency Operations-Employee training/travel,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,510.7
2015-00002437,09-JAN-15,3295,GOINS,"TRAINING, Reimbursment for employee paid training",GENERAL FUND-Fire-Emergency Operations-Employee training/travel,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,542.6
